ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-03-16,8316.176982844774,7313.503805541051,8698.627122174514,8316.176982844774,8316.176982844774,-320.75670690241685,-320.75670690241685,-320.75670690241685,218.7675154254817,218.7675154254817,218.7675154254817,-539.5242223278985,-539.5242223278985,-539.5242223278985,0.0,0.0,0.0,7995.420275942357
2023-03-19,8310.866143068168,7151.5974978547465,8556.802732868566,8310.866143068168,8310.866143068168,-443.9913345501847,-443.9913345501847,-443.9913345501847,108.83944473024806,108.83944473024806,108.83944473024806,-552.8307792804327,-552.8307792804327,-552.8307792804327,0.0,0.0,0.0,7866.874808517983
2023-03-20,8309.095863142635,7159.678766928383,8633.867944846961,8309.095863142635,8309.095863142635,-426.3841651450691,-426.3841651450691,-426.3841651450691,135.6646311472067,135.6646311472067,135.6646311472067,-562.0487962922758,-562.0487962922758,-562.0487962922758,0.0,0.0,0.0,7882.711697997565
2023-03-21,8307.325583217098,7254.930182107719,8585.600490717563,8307.325583217098,8307.325583217098,-372.62092584938716,-372.62092584938716,-372.62092584938716,201.03915771983952,201.03915771983952,201.03915771983952,-573.6600835692267,-573.6600835692267,-573.6600835692267,0.0,0.0,0.0,7934.704657367711
2023-03-22,8305.555303291563,7331.666053662942,8697.234480786683,8305.555303291563,8305.555303291563,-354.1287446232863,-354.1287446232863,-354.1287446232863,233.47138643669427,233.47138643669427,233.47138643669427,-587.6001310599805,-587.6001310599805,-587.6001310599805,0.0,0.0,0.0,7951.426558668277
2023-03-23,8303.785023366028,7216.86680054159,8605.08758606842,8303.785023366028,8303.785023366028,-384.9934961030781,-384.9934961030781,-384.9934961030781,218.7675154265919,218.7675154265919,218.7675154265919,-603.76101152967,-603.76101152967,-603.76101152967,0.0,0.0,0.0,7918.791527262951
2023-03-26,8298.474183589424,6994.198652957675,8455.611094773718,8298.474183589424,8298.474183589424,-555.0313731676645,-555.0313731676645,-555.0313731676645,108.83944473134468,108.83944473134468,108.83944473134468,-663.8708178990091,-663.8708178990091,-663.8708178990091,0.0,0.0,0.0,7743.4428104217595
2023-03-27,8296.703903663889,7053.5676217905275,8391.620168583382,8296.703903663889,8296.703903663889,-551.3636942543214,-551.3636942543214,-551.3636942543214,135.66463114597173,135.66463114597173,135.66463114597173,-687.0283254002932,-687.0283254002932,-687.0283254002932,0.0,0.0,0.0,7745.340209409567
2023-03-28,8294.933623738354,7052.981594907003,8482.28841174288,8294.933623738354,8294.933623738354,-510.24676846022766,-510.24676846022766,-510.24676846022766,201.03915771926728,201.03915771926728,201.03915771926728,-711.2859261794948,-711.2859261794948,-711.2859261794948,0.0,0.0,0.0,7784.686855278126
2023-03-29,8293.16334381282,7064.245506532444,8501.198819843006,8293.16334381282,8293.16334381282,-502.8545744980374,-502.8545744980374,-502.8545744980374,233.47138643544577,233.47138643544577,233.47138643544577,-736.3259609334833,-736.3259609334833,-736.3259609334833,0.0,0.0,0.0,7790.308769314782
2023-03-30,8291.393063887284,7063.802405232799,8409.085921616734,8291.393063887284,8291.393063887284,-543.0419475630429,-543.0419475630429,-543.0419475630429,218.76751542518394,218.76751542518394,218.76751542518394,-761.8094629882269,-761.8094629882269,-761.8094629882269,0.0,0.0,0.0,7748.351116324242
2023-04-02,8286.08222411068,6780.593606163477,8279.859709244745,8286.08222411068,8286.08222411068,-728.4768721626425,-728.4768721626425,-728.4768721626425,108.83944472871143,108.83944472871143,108.83944472871143,-837.316316891354,-837.316316891354,-837.316316891354,0.0,0.0,0.0,7557.605351948037
2023-04-03,8284.311944105704,6882.706224670668,8209.319370496141,8284.311944105704,8284.311944105704,-725.2694333110804,-725.2694333110804,-725.2694333110804,135.66463114632563,135.66463114632563,135.66463114632563,-860.934064457406,-860.934064457406,-860.934064457406,0.0,0.0,0.0,7559.042510794624
2023-04-04,8282.541664100727,6954.186759896053,8298.166161923371,8282.541664100727,8282.541664100727,-682.1196403179317,-682.1196403179317,-682.1196403179317,201.03915772054387,201.03915772054387,201.03915772054387,-883.1587980384757,-883.1587980384757,-883.1587980384757,0.0,0.0,0.0,7600.422023782795
2023-04-05,8280.771384095751,6908.717532893557,8366.184966791225,8280.771384095751,8280.771384095751,-670.1602424979671,-670.1602424979671,-670.1602424979671,233.4713864361089,233.4713864361089,233.4713864361089,-903.6316289340759,-903.6316289340759,-903.6316289340759,0.0,0.0,0.0,7610.611141597784
2023-04-06,8279.001104090776,6860.116264580199,8263.569135652006,8279.001104090776,8279.001104090776,-703.2409803263539,-703.2409803263539,-703.2409803263539,218.7675154262941,218.7675154262941,218.7675154262941,-922.0084957526478,-922.0084957526478,-922.0084957526478,0.0,0.0,0.0,7575.760123764422
2023-04-09,8273.690264075845,6690.934933566504,8092.489268031034,8273.690264075845,8273.690264075845,-852.6051662124017,-852.6051662124017,-852.6051662124017,108.83944472909813,108.83944472909813,108.83944472909813,-961.4446109415001,-961.4446109415001,-961.4446109415001,0.0,0.0,0.0,7421.0850978634435
